date,price,il,regime
2024-04-22,3201.652099609375,-0.004593259183126586,Medium
2024-04-23,3219.91162109375,-0.004868181034643815,Medium
2024-04-24,3139.80517578125,-0.003710369291826665,Medium
2024-04-25,3156.509521484375,-0.00394130583490615,Medium
2024-04-26,3130.164794921875,-0.003579693439393905,Medium
2024-04-27,3252.168212890625,-0.005369086875145479,Medium
2024-04-28,3262.774658203125,-0.005537949008920684,Medium
2024-04-29,3215.428955078125,-0.004800103014077073,Medium
2024-04-30,3012.286865234375,-0.0021443397057382407,Medium
2024-05-01,2969.78466796875,-0.001705280734078718,Medium
2024-05-02,2988.16845703125,-0.0018898142014051045,Medium
2024-05-03,3103.5419921875,-0.0032289055677235945,Medium
2024-05-04,3117.576416015625,-0.0034119654108317743,Medium
2024-05-05,3137.2490234375,-0.003675533687168886,Medium
2024-05-06,3062.728759765625,-0.002720725657108569,Medium
2024-05-07,3006.5771484375,-0.002082826989024067,Medium
2024-05-08,2973.6572265625,-0.0017434617034199906,Low
2024-05-09,3036.0205078125,-0.002408241707288039,Low
2024-05-10,2909.791259765625,-0.001162301434132318,Low
2024-05-11,2911.60205078125,-0.0011773251393008,Low
2024-05-12,2928.701904296875,-0.0013234524282317306,Low
2024-05-13,2949.359619140625,-0.0015100947766866213,Low
2024-05-14,2881.157958984375,-0.000936409354978962,Low
2024-05-15,3037.056640625,-0.0024200610020251867,Low
2024-05-16,2945.131103515625,-0.0014710007285859694,Low
2024-05-17,3094.11865234375,-0.0031083503891957687,Low
2024-05-18,3122.948974609375,-0.003483144179427078,Low
2024-05-19,3071.843017578125,-0.0028310376388601677,Low
2024-05-20,3663.85546875,-0.013211625804845362,High
2024-05-21,3789.312744140625,-0.01603485420945605,High
2024-05-22,3737.2177734375,-0.014842220448523125,High
2024-05-23,3776.92724609375,-0.015748804228904123,High
2024-05-24,3726.9345703125,-0.014610130121303855,High
2024-05-25,3749.236572265625,-0.015114894714880922,High
2024-05-26,3825.8974609375,-0.016888612519269097,High
2024-05-27,3892.0068359375,-0.018463332504783936,High
2024-05-28,3840.25634765625,-0.01722721054803744,High
2024-05-29,3763.196533203125,-0.015433492720106301,High
2024-05-30,3746.849609375,-0.015060620758471477,High
2024-05-31,3760.026611328125,-0.015360971763129672,High
2024-06-01,3813.198974609375,-0.01659080306516092,High
2024-06-02,3780.89599609375,-0.015840297537529247,High
2024-06-03,3766.38916015625,-0.015506637046732052,High
2024-06-04,3812.515869140625,-0.016574826583521274,High
2024-06-05,3864.260986328125,-0.01779756146154543,High
2024-06-06,3811.60595703125,-0.016553552552542206,High
2024-06-07,3678.629150390625,-0.013535197518411368,High
2024-06-08,3680.949951171875,-0.01358625203445507,High
2024-06-09,3705.90380859375,-0.01413899538758645,Medium
2024-06-10,3666.717529296875,-0.013274116356553178,High
2024-06-11,3498.33056640625,-0.009767454050676805,High
2024-06-12,3559.61767578125,-0.011002158043548982,High
2024-06-13,3469.28125,-0.009200115938623799,High
2024-06-14,3480.27197265625,-0.009413372783693474,High
2024-06-15,3565.549560546875,-0.0111242862429064,High
2024-06-16,3620.5634765625,-0.01227800727756434,Medium
2024-06-17,3511.37890625,-0.010026103662496455,Medium
2024-06-18,3483.681396484375,-0.009479873696148,Medium
2024-06-19,3559.347412109375,-0.010996604515658537,Low
2024-06-20,3511.0869140625,-0.010020290215053462,Low
2024-06-21,3516.07568359375,-0.010119773702505386,Low
2024-06-22,3494.8134765625,-0.009698137452265998,Low
2024-06-23,3418.61181640625,-0.008239561883380264,Low
2024-06-24,3350.25634765625,-0.00700551303025454,Low
2024-06-25,3395.029052734375,-0.0078055729261554685,Low
2024-06-26,3369.477294921875,-0.007345076426901853,Low
2024-06-27,3444.800537109375,-0.008731329015708389,Low
2024-06-28,3373.635986328125,-0.007419323939479194,Low
2024-06-29,3372.9677734375,-0.0074073754255801205,Low
2024-06-30,3432.88916015625,-0.008506395830741309,Low
2024-07-01,3440.341552734375,-0.008646881130330852,Low
2024-07-02,3416.354736328125,-0.008197658776346373,Low
2024-07-03,3292.916748046875,-0.006028764461602276,Low
2024-07-04,3054.52197265625,-0.002622986546791828,Low
2024-07-05,2981.5986328125,-0.001822915600934949,Low
2024-07-06,3069.3779296875,-0.002801019826402684,Low
2024-07-07,2929.38720703125,-0.0013294678736832655,Low
2024-07-08,3018.73193359375,-0.002214701033553812,Low
2024-07-09,3064.032958984375,-0.002736397183579431,Low
2024-07-10,3102.21875,-0.0032118619427873307,Low
2024-07-11,3100.330810546875,-0.003187609829953031,Low
2024-07-12,3134.15869140625,-0.0036335979731998425,Low
2024-07-13,3177.19873046875,-0.00423512226258127,Low
2024-07-14,3244.0791015625,-0.0052416729342666946,Low
2024-07-15,3489.552734375,-0.009594776179138176,Low
2024-07-16,3443.513427734375,-0.008706922719274646,Low
2024-07-17,3388.75244140625,-0.007691507409053666,Low
2024-07-18,3426.258544921875,-0.008382094807905416,Low
2024-07-19,3505.73486328125,-0.009913938911806808,Low
2024-07-20,3519.29541015625,-0.01018415875231915,Low
2024-07-21,3536.60546875,-0.010532691875361877,Low
2024-07-22,3440.419921875,-0.008648362826099265,Low
2024-07-23,3481.995849609375,-0.009446976634599147,Low
2024-07-24,3336.33935546875,-0.006763396112676401,Low
2024-07-25,3174.42724609375,-0.004195269578715188,Low
2024-07-26,3275.951416015625,-0.0057505390570755655,Low
2024-07-27,3247.60791015625,-0.005297109576106296,Low
2024-07-28,3271.464599609375,-0.005677803322807207,Low
2024-07-29,3320.539306640625,-0.00649240175693544,Low
2024-07-30,3278.667724609375,-0.005794746079117341,Low
2024-07-31,3231.295654296875,-0.005042763344040635,Low
2024-08-01,3201.564453125,-0.004591954867782855,Low
2024-08-02,2986.01318359375,-0.001867751706847276,Low
2024-08-03,2903.3857421875,-0.0011098552298639541,Low
2024-08-04,2686.39892578125,-3.4424371348595884e-05,Low
2024-08-05,2417.206298828125,-0.0009891729733814136,Medium
2024-08-06,2458.723876953125,-0.0006470008749499545,Medium
2024-08-07,2336.58935546875,-0.0018855144798526347,Medium
2024-08-08,2683.352783203125,-2.987845102764286e-05,High
2024-08-09,2599.5986328125,-3.3003979090451274e-05,High
2024-08-10,2610.02294921875,-1.87493338754674e-05,High
2024-08-11,2553.252197265625,-0.00014651580889535332,High
2024-08-12,2724.431884765625,-0.00011744377187250521,High
2024-08-13,2703.671875,-6.614701189489036e-05,High
2024-08-14,2662.914794921875,-7.634169939541025e-06,High
2024-08-15,2570.087646484375,-9.567066063553842e-05,High
2024-08-16,2593.1865234375,-4.3798069985889754e-05,High
2024-08-17,2614.546875,-1.382190715104592e-05,High
2024-08-18,2613.357177734375,-1.5044264575325705e-05,High
2024-08-19,2637.306396484375,-4.2700289581976136e-07,High
2024-08-20,2573.10693359375,-8.772349123742362e-05,High
2024-08-21,2631.3955078125,-2.0930790395334853e-06,High
2024-08-22,2622.951416015625,-6.6724642434623505e-06,High
2024-08-23,2764.447021484375,-0.0002557130284740472,High
2024-08-24,2769.3896484375,-0.000276303603017114,High
2024-08-25,2749.15771484375,-0.0001968622315383639,High
2024-08-26,2681.340576171875,-2.7049401557510677e-05,High
2024-08-27,2458.7265625,-0.0006469812456165736,High
2024-08-28,2528.41552734375,-0.0002420997589541729,High
2024-08-29,2528.792724609375,-0.00024046180217418556,High
2024-08-30,2525.822021484375,-0.00025351913016291583,High
2024-08-31,2513.393798828125,-0.0003120737901007864,High
2024-09-01,2427.90234375,-0.0008935285024094242,High
2024-09-02,2538.187255859375,-0.00020153113297483038,High
2024-09-03,2420.603759765625,-0.0009582208738536657,High
2024-09-04,2448.97705078125,-0.0007203505696901091,High
2024-09-05,2367.737548828125,-0.0015015973040218844,High
2024-09-06,2223.87646484375,-0.003701804095696315,High
2024-09-07,2274.107177734375,-0.0028066255542744667,Low
2024-09-08,2297.29296875,-0.002440648470530271,Low
2024-09-09,2358.482177734375,-0.0016106166011841117,Medium
2024-09-10,2389.5810546875,-0.0012609104945439098,Medium
2024-09-11,2339.841552734375,-0.0018431483239536028,Low
2024-09-12,2361.78173828125,-0.0015712652774219071,Low
2024-09-13,2441.607177734375,-0.0007786290807789698,Low
2024-09-14,2418.595703125,-0.0009764504208941149,Low
2024-09-15,2320.897216796875,-0.0020975483018533803,Low
2024-09-16,2295.28369140625,-0.002471216672962906,Low
2024-09-17,2341.707763671875,-0.001819079955820313,Low
2024-09-18,2369.72900390625,-0.0014786917456580673,Low
2024-09-19,2464.752197265625,-0.0006037391598985309,Low
2024-09-20,2561.072021484375,-0.00012151495309808968,Medium
2024-09-21,2615.857177734375,-1.2536156580256197e-05,Medium
2024-09-22,2582.862548828125,-6.44534344278469e-05,Low
2024-09-23,2648.54638671875,-7.227713766377875e-07,Low
