sigma,alpha,expected_il
0.3263157894736842,0.2,0.007493209389461227
0.3263157894736842,0.22,0.005598025829581919
0.3263157894736842,0.24000000000000002,0.004092010089962529
0.3263157894736842,0.26,0.0007558546119687353
0.3263157894736842,0.28,-0.0009463783168348383
0.3263157894736842,0.30000000000000004,0.002830169309072597
0.3263157894736842,0.32,-0.0025143977311567665
0.3263157894736842,0.33999999999999997,-0.0013252340823037914
0.3263157894736842,0.36,-0.0031288099935125623
0.3263157894736842,0.38,-0.003755181456749691
0.3263157894736842,0.4,-0.004935917019512174
0.3263157894736842,0.42000000000000004,-0.007069482575359682
0.3263157894736842,0.44000000000000006,-0.006232473633984784
0.3263157894736842,0.45999999999999996,-0.007845817688012156
0.3263157894736842,0.48,-0.008292836946071226
0.3263157894736842,0.5,-0.00999180018397896
0.3263157894736842,0.52,-0.009287719390854305
0.3263157894736842,0.54,-0.011030376706549622
0.3263157894736842,0.56,-0.011318375727036712
0.3263157894736842,0.58,-0.011668436725863948
0.3263157894736842,0.6,-0.01333848192877781
0.3263157894736842,0.62,-0.0116384400370134
0.3263157894736842,0.64,-0.013750821395676679
0.3263157894736842,0.66,-0.014019248794705228
0.3263157894736842,0.6799999999999999,-0.01623928578942727
0.3263157894736842,0.7,-0.014318005005898273
0.3263157894736842,0.72,-0.014746782225220951
0.3263157894736842,0.74,-0.017333707321448948
0.3263157894736842,0.76,-0.016980799341046335
0.3263157894736842,0.78,-0.014952561411958826
0.3263157894736842,0.8,-0.016767188016507666
0.3263157894736842,0.82,-0.015154629796493516
0.3263157894736842,0.84,-0.01644251794781251
0.3263157894736842,0.86,-0.019466149085273807
0.3263157894736842,0.88,-0.01492308030273024
0.3263157894736842,0.9,-0.017537558109876415
0.368421052631579,0.1,0.013652775511632364
0.368421052631579,0.12000000000000001,0.012725216003071539
0.368421052631579,0.14,0.012958190483979209
0.368421052631579,0.16,0.010308424053716181
0.368421052631579,0.18,0.010431096549201033
0.368421052631579,0.2,0.010979137607437245
0.368421052631579,0.22,0.005044564343281773
0.368421052631579,0.24000000000000002,0.0023075225640475407
0.368421052631579,0.26,0.00480097527353186
0.368421052631579,0.28,-0.002888713214945975
0.368421052631579,0.30000000000000004,2.8603922068989986e-05
0.368421052631579,0.32,-0.0006169334673695431
0.368421052631579,0.33999999999999997,-0.0025492653245120017
0.368421052631579,0.36,-0.004954612833567587
0.368421052631579,0.38,-0.004977109868952196
0.368421052631579,0.4,-0.006528652065748785
0.368421052631579,0.42000000000000004,-0.007326269827727769
0.368421052631579,0.44000000000000006,-0.008883232002422367
0.368421052631579,0.45999999999999996,-0.010053567426541173
0.368421052631579,0.48,-0.011031019363913404
0.368421052631579,0.5,-0.011912897793013017
0.368421052631579,0.52,-0.013185002576657884
0.368421052631579,0.54,-0.01480205582374528
0.368421052631579,0.56,-0.01516254129810928
0.368421052631579,0.58,-0.0161308087065989
0.368421052631579,0.6,-0.014924226263891045
0.368421052631579,0.62,-0.018219611619173216
0.368421052631579,0.64,-0.018930780648665987
0.368421052631579,0.66,-0.016491181172389173
0.368421052631579,0.6799999999999999,-0.018169647568807807
0.368421052631579,0.7,-0.02285062049462161
0.368421052631579,0.72,-0.022606394558293934
0.368421052631579,0.74,-0.018210316594546992
0.368421052631579,0.76,-0.019499102747523967
0.368421052631579,0.78,-0.017440773311684157
0.368421052631579,0.8,-0.024005076551064628
0.368421052631579,0.82,-0.021218824012926612
0.368421052631579,0.84,-0.029399265662168106
0.368421052631579,0.86,-0.023842179481293958
0.368421052631579,0.88,-0.023142549017756402
0.368421052631579,0.9,-0.027440298307163834
0.4105263157894737,0.1,0.013174929425342164
0.4105263157894737,0.12000000000000001,0.02044566670099867
0.4105263157894737,0.14,0.011590370976305817
0.4105263157894737,0.16,0.009241145587829269
0.4105263157894737,0.18,0.010419060216977945
0.4105263157894737,0.2,0.0070599577111058595
0.4105263157894737,0.22,0.0017608451892847277
0.4105263157894737,0.24000000000000002,0.001406055301500594
0.4105263157894737,0.26,-0.001434012841658442
0.4105263157894737,0.28,0.002118024675601606
0.4105263157894737,0.30000000000000004,9.765174523642894e-05
